,A,B,C,D,E,F,HDT_0.455©,UTS(Mpa),Modulus(Gpa),EAB%,Viscosity_75C(cp),R value,log_HDT,log_viscosity
20,39.10629812,10.41904382,14.04334635,11.43131171,17.0,8.0,61.3,48.45,2.25,13.78,15.3,2.174752181,4.115779842942166,2.72785282839839
21,40.0014098,8.495118614,22.0,6.484561489,15.01891009,8.0,59.7,49.58,2.62,6.23,14.2,1.893239625,4.089332020398556,2.653241964607215
22,46.61970521,9.058342547,22.0,5.436445141,6.0,10.8855071,114.8,60.01,2.15,10.94,18.6,2.718068229,4.743191483885466,2.9231615807191558
23,35.0,10.51392113,9.468610475,20.44430122,16.57316717,8.0,71.3,49.08,2.01,8.81,14.3,2.635366194,4.26689632742025,2.6602595372658615
24,36.43,9.33,10.66,24.34,6.74,12.5,122.7,54.38,1.65,8.58,19.536,4.331550324,4.809742351716865,2.972258917368349
25,36.55,6.268,16.77434488,18.22565512,11.9873172,10.19232043,77.3,50.62,2.56,8.85,13.324,2.531132222,4.3476939555933765,2.5895669203314333
26,36.7,6.0,12.41,22.59,12.31,9.98,85.9,50.97,2.03,11.13,13.931,2.944871961,4.45318382899021,2.634116572724088
27,38.41,7.29,18.67,16.33,6.84,12.47,113.8,54.08,1.9,10.68,16.415,2.96401817,4.73444252169223,2.798195550953556
28,36.47,6.0,22.0,12.74,10.29,12.5,72.8,50.06,2.13,21.78,15.799,2.236711354,4.28771595520264,2.759946646890712
29,35.5,12.0,22.0,12.97,6.0,11.53,108.1,55.3,2.31,8.8,15.1,2.716281843,4.683056724645162,2.714694743820879
30,42.51,6.0,22.0,13.0,6.54,9.96,110.8,57.64,2.28,10.47,14.662,2.745297688,4.707726774313183,2.6852591128013947
31,40.38,6.0,13.47,21.53,6.32,12.3,115.7,53.65,1.97,7.92,16.42,3.878348573,4.751000634199631,2.7985001040242823
32,39.59,6.0,15.42,19.58,6.91,12.5,116.9,53.61,1.78,12.84,17.889,3.399696528,4.761318868478023,2.8841859988090786
33,35.0,0.0,16.33333,23.66667,15.33333,9.666667,58.1,40.01667,2.3,10.70667,11.9,2.282969968,4.062165663857866,2.4765384001174837
34,44.50786,0.0,14.9324,17.20109,12.43041,10.92825,91.3,49.61,2.093333,10.55333,15.0,2.658308629,4.514150787600923,2.70805020110221
35,48.28204,0.0,5.0,27.66314,11.05482,8.0,120.9,55.42667,1.826667,8.076667,13.3,4.767323509,4.794963757620747,2.5877640352277083
36,52.0,0.0,7.666667,10.33333,17.0,13.0,83.8,46.44,1.87,20.37,22.5,2.606171995,4.428433007488037,3.1135153092103742
39,36.0,4.68,12.42,22.59,12.31,12.0,88.5,47.6,2.11,10.62,15.962,2.883266832,4.483002552013883,2.770210897453817
40,36.28415908,5.932015108,12.27927127,22.33403688,12.17051766,11.0,93.1,49.52,2.12,7.5,15.065,2.944106847,4.533674184283021,2.7123741725822645
41,35.9264719,5.865363253,12.14130193,22.08309265,12.03377027,11.95,93.1,48.64,2.05,9.22,16.262,2.945959658,4.533674184283021,2.788831097785646
42,38.0,5.0,16.0,20.0,8.5,12.5,109.3,51.35,1.9,9.81,16.443,3.04769961,4.694096395182493,2.799899854732089
43,38.0,5.0,18.0,20.0,6.5,12.5,119.8,48.7,1.54,10.85,15.939,3.141865567,4.785823685681349,2.7687689361369157
44,38.0,5.0,20.0,20.0,4.5,12.5,123.0,52.74,1.82,7.97,15.669,3.236883704,4.812184355372417,2.7516842381222713
45,38.0,4.8,18.0,22.0,8.2,9.0,115.1,55.06,2.32,6.59,12.304,3.006613161,4.745801315727837,2.5099244127632883
46,37.28617348,9.935769439,10.73060825,18.50672017,10.54072866,13.0,115.3,51.44,1.77,12.86,19.758,3.290887415,4.747537427275013,2.983558472622282
47,40.0,6.268061842,17.77434488,19.22565512,6.539617728,10.19232043,122.6,56.64,2.36,7.18,14.435,3.231788754,4.808927023502111,2.6696558131148986
48,50.0,4.63,29.0,12.71,3.66,0.0,125.6,68.67,2.45,6.4,7.9731,2.799399447,4.833102254034098,2.076073375772069
49,38.47,12.0,29.0,18.53,2.0,0.0,127.1,67.28,2.91,5.48,7.8814,2.980822233,4.844974178195408,2.0645055530638547
50,50.0,0.0,10.0,29.0,11.0,0.0,132.3,57.7,2.16,4.38,7.7147,4.048993564,4.88507207112091,2.0431275997706724
51,48.78,6.23,10.0,20.0,15.0,0.0,103.1,59.79,2.03,10.0,8.529,3.13026755,4.635699391022914,2.1434721213369725
52,41.77,12.0,10.0,29.0,7.23,0.0,137.37,66.61,2.61,6.91,8.348,4.99829428,4.922678015337114,2.1220219892149546
53,47.26,0.0,17.93,26.0,8.81,0.0,118.3,58.29,2.32,4.79,7.1543,3.292770594,4.773223770984341,1.967713574539648
54,44.16,7.35,18.94,21.84,7.71,0.0,120.9,61.09,2.13,5.53,8.1287,3.26178155,4.794963757620747,2.0954010091750797
55,44.16,7.35,18.94,21.84,7.71,0.0,103.9,62.41,2.45,6.87,7.2213,3.26178155,4.6434288981051814,1.9770349920983687
56,47.58,7.79,23.73,18.89,2.0,0.0,141.1,64.99,2.54,5.02,8.2011,3.613190069,4.9494688588587685,2.104268291614855
57,39.76,0.0,21.0,29.0,10.24,0.0,105.8,56.88,2.08,6.19,6.2893,2.800513406,4.661550519424199,1.8388497767610605
58,44.16,7.35,18.94,21.84,7.71,0.0,120.8,61.04,2.35,5.18,8.0991,3.26178155,4.794136285500715,2.0917529443939853
59,36.85,12.0,23.0,20.71,7.45,0.0,112.7,62.26,2.05,7.34,7.9122,2.838425764,4.724729421045731,2.0684058720595715
60,44.16,7.35,18.94,21.84,7.71,0.0,122.4,59.06,2.32,4.96,7.875,3.26178155,4.807294370078226,2.063693184711697
61,50.0,1.61,22.28,17.36,8.76,0.0,116.7,63.04,2.33,6.25,8.1619,2.799400879,4.75960653929251,2.0994769850095145
62,43.34,12.0,16.72,25.95,2.0,0.0,159.4,51.05,2.43,2.78,8.5378,4.938343589,5.071416766356115,2.1445033633717854
63,40.31,12.0,16.94,18.82,11.92,0.0,99.9,60.46,2.27,6.66,8.7938,2.800386054,4.604169685654508,2.1740469277208296
64,50.0,5.29,16.8,25.91,2.0,0.0,163.4,48.09,2.46,2.47,7.9339,5.001223755,5.096201182425903,2.071144718029849
65,36.0,12.0,21.0,29.0,2.0,0.0,147.4,50.07,2.23,3.1,7.4868,4.059850054,4.993149979755236,2.013141469922604
66,50.0,12.0,25.02,10.98,2.0,0.0,135.7,64.8,2.62,3.82,9.516,3.360604731,4.9104465668408235,2.252974592440711
67,36.77,9.92,17.22,26.7,9.4,0.0,111.4,59.11,2.04,8.29,7.0871,3.199029266,4.713127327493184,1.9582762300714505
68,40.57,5.43,21.0,29.0,4.0,0.0,134.1,56.08,2.25,4.1,6.3723,3.708773676,4.898585790287632,1.8519604719188119
69,48.6,12.0,20.0,10.0,9.4,0.0,112.5,62.61,2.3,5.75,9.7488,2.800433739,4.722953221644475,2.277144200512093
70,35.48,12.0,26.33,23.67,2.52,0.0,122.5,61.77,2.24,5.17,7.5548,3.204296562,4.808111029984782,2.022183122839554
71,37.67,4.6,13.79,28.93,15.0,0.0,65.4,51.59,2.28,7.51,7.5548,2.80211393,4.180522258463153,2.022183122839554
72,47.49,5.2,16.89,28.42,2.0,0.0,161.9,61.28,2.2,4.28,7.6175,5.000804782,5.0869788606835895,2.030448231877727
73,50.0,6.78,16.18,14.45,12.6,0.0,105.7,62.26,2.13,7.6,9.5443,2.799339007,4.660604892876192,2.2559441176628714
74,50.0,0.0,25.24,22.76,2.0,0.0,140.0,52.27,2.51,3.56,7.113,3.509390693,4.941642422609304,1.9619240957513782
75,50.0,0.0,13.75,21.25,15.0,0.0,93.9,57.14,2.13,7.29,8.0644,2.800256402,4.542230386214217,2.087459313273419
76,42.26,3.68,29.0,21.0,4.07,0.0,119.0,61.34,2.17,5.53,7.0825,2.799743923,4.77912349311153,1.9576269527225345
77,50.0,0.0,10.0,29.0,11.0,0.0,115.1,56.52,2.16,4.6,7.6402,4.048993564,4.745801315727837,2.0334237808462623
78,50.0,9.82,10.0,20.0,10.18,0.0,124.3,59.23,2.42,4.58,9.4794,4.070467479,4.822697998516666,2.2491210231247214
79,50.0,12.0,16.27,19.73,2.0,0.0,157.2,62.78,2.67,3.82,9.2734,5.001033238,5.057518879995106,2.2271500868739555
80,35.23,12.0,10.0,27.78,15.0,0.0,81.8,51.71,1.94,9.31,8.4818,3.126849486,4.404277243608702,2.1379226914299077
83,35.70075243,17.2342559,13.36245427,19.5562747,14.1462627,0.0,82.0,53.46,2.03,8.09,9.3099,2.799999115,4.406719247264253,2.2310783500927287
84,36.91208276,16.85257449,10.0,22.17092657,14.06441619,0.0,97.6,52.15,2.0,6.24,9.3866,3.201878128,4.580877493419047,2.239283140323783
85,35.62419366,14.13822773,10.06495583,28.17262277,12.0,0.0,114.0,50.22,1.78,4.45,8.4664,3.655414415,4.736198448394496,2.1361053887973775
86,32.0,19.9960738,10.35548532,21.93965487,15.708786,0.0,72.0,52.03,2.21,10.51,9.3773,2.869006733,4.276666119016055,2.238291875100507
87,32.0,20.0,16.1948771,19.8051229,12.0,0.0,88.9,54.263,2.043,6.643,9.2059,2.799998858,4.487512142519859,2.2198445828550617
88,32.0,14.0,15.16559513,25.50253265,13.33187222,0.0,79.8,52.72,1.94,9.24,8.1539,2.799999341,4.379523504455763,2.0984963404023107
