Formulation,Test1,Test2,Test3,Test4,Test5,Test6,Test7,Test8,Test9,Test10,Test11,Test12,Test13,Test14,Test15,Test16,Test17,Test18,Test19,Test20,Test21,Test22,Test23,Test24,Test25,Test26,Test27,Test28,Test29,Test30,Test31,Test32,Test33,Test34,Test35,Test36,Test37,Test38,Test39,Test40,Test41,Test42,Test43,Test44,Test45,Test46,Test47,Test48,Test49,Test50,Test51,Test52,Test53,Test54,Test55,Test56,Test57,Test58,Test59,Test60,Test61,Test62,Test63,Test64
Viscosity 80 C cp Day1 ,20.5,18.4,17.9,16.9,13.5,12.5,16.9,13.4,15.6,17.8,16.1,13.2,16.6,13.9,21.8,24.4,18.7,12.2,17.9,18.5,13.3,12.3,16.2,12.4,16.899,11.845,12.35,14.576,14.004,13.426,12.939,14.659,15.536,15.782,11.819,11.701,15.085,14.171,14.103,12.551,14.88,15.74,10.5,13.2,11.6,19.4,15,11.3,14.039,13.278,14.258,14.472,14.242,13.855,10.835,17.361,12.703,,,,,,12.713,12.758
Viscosity 85 C cp Day1,17.2,16.2,15.8,14.8,11.9,11,14.8,11.6,13.3,15.5,14,11.6,14.6,12.2,19,21.3,16.7,10.8,15.9,16.2,11.6,10.9,14.3,11,14.89,10.627,11.046,13.03,12.518,11.971,11.526,13.162,13.73,14.316,10.629,10.609,13.543,12.744,12.678,11.127,13.39,13.959,9.4,11.6,10.4,17.1,13.3,10.1,12.499,11.812,12.636,12.954,12.735,12.425,9.6477,15.356,11.283,,,,,,11.375,11.402
Viscosity 90 C cp Day1,14.9,14.3,14,13.2,10.6,9.7,13.2,10.3,11.7,13.8,12.4,10.3,12.9,10.8,16.8,18.8,15.9,9.6,14.2,14.3,10.3,9.7,12.7,9.8,13.37,9.5912,9.9601,11.773,11.26,10.763,10.381,11.931,12.334,13.06,9.6563,9.6763,12.317,11.569,11.482,10.031,12.161,12.513,8.5,10.5,9.3,15.2,33.8,9,11.227,10.64,11.357,11.643,11.495,11.201,8.7007,13.769,10.097,,,,,,,
Tg C,,,,,,,,,,,,,,,,,,,,,,,,,135.5,91.8,99.92,,87.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photocure Enthalpy (J/g),265.4,307.2,323.9,342.1,312.8,348.6,292.8,364.1,322.4,288.5,270,315.7,319.8,321.5,280,256.9,275.5,287.8,301.5,307.5,338.7,362.5,337.9,322.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photocure Rate (J/g*m),247,201,308,142,392,469,362,270,529,76,218,114,153,419,97,328,279,246,181,104,143,154,561,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R value,3.12,4.005,2.095,5.065,2.215,2.835,2.45,3.525,3.065,4.28,2.32,2.71,5.34,2.07,3.91,2.83,2.3,2.48,4.045,4.87,5.23,5.235,1.74,3.595,4.331550324,2.531132222,2.944871961,2.96401817,2.236711354,2.716281843,2.745297688,3.878348573,3.399696528,4.331550323,2.53120563,2.94487196,2.96401817,2.236711355,2.716281843,2.745297688,3.878348573,3.399696528,2.282969968,2.658308629,4.767323509,2.606171995,2.159955992,2.925936438,2.883266832,2.944106846,2.945959657,3.04769961,3.141865567,3.236883704,3.006613161,3.290887415,3.231788754,2.944871961,2.944871961,2.944871961,2.757415202,2.56141172,2.889744125,2.890977102
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,UviCure S105,126.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,YDF-170 LV,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,GE-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Curalite Ox,116.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Curalite Ox Plus,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,PETMG 220,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Pripol 2043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Core-Shell NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.579,17.415,18.963,18.943,18.237,17.994,14.248,22.919,16.756,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.5,93.1,93.1,109.3,119.8,123,115.1,115.3,122.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.6,49.52,48.64,51.35,48.7,52.74,55.06,51.44,56.64,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11,2.12,2.05,1.9,1.54,1.82,2.32,1.77,2.36,,,,
